UWI,MD,Inc,Az,eoff,noff,tvd,ss,,KB = ,824
100/01-07-013-18W4/00,1771.84,91.03,49.82,829.24,381.42,1041.74,-217.74,,,
100/01-07-013-18W4/00,1790.95,90.81,47.1,843.48,393.99,1041.44,-217.44,,,
100/01-07-013-18W4/00,1810.01,90.99,45.34,857.23,407.22,1041.14,-217.14,,,
100/01-07-013-18W4/00,1829.12,90.95,46.22,870.97,420.57,1040.81,-216.81,,,
100/01-07-013-18W4/00,1848.3,91.65,45.34,884.64,433.91,1040.38,-216.38,,,
100/01-07-013-18W4/00,1867.46,89.19,43.93,898.1,447.59,1040.24,-216.24,,,
100/01-07-013-18W4/00,1886.57,88.75,44.11,911.41,461.27,1040.58,-216.58,,,
100/01-07-013-18W4/00,1905.59,88.92,43.49,924.58,474.95,1040.97,-216.97,,,
100/01-07-013-18W4/00,1924.78,89.19,43.05,937.68,488.96,1041.29,-217.29,,,
100/01-07-013-18W4/00,1943.89,90.07,42.44,950.64,502.97,1041.41,-217.41,,,
100/01-07-013-18W4/00,1963,89.05,41.12,963.38,517.2,1041.56,-217.56,,,
100/01-07-013-18W4/00,1982.09,90.95,41.65,975.97,531.55,1041.56,-217.56,,,
100/01-07-013-18W4/00,2001.2,90.33,41.65,988.71,545.78,1041.34,-217.34,,,
100/01-07-013-18W4/00,2020.34,88.26,39.89,1001.17,560.35,1041.58,-217.58,,,
100/01-07-013-18W4/00,2039.48,89.01,41.38,1013.62,574.81,1042.03,-218.03,,,
100/01-07-013-18W4/00,2058.78,88.92,42.26,1026.51,589.15,1042.38,-218.38,,,
100/01-07-013-18W4/00,2077.99,89.58,43.05,1039.53,603.28,1042.63,-218.63,,,
100/01-07-013-18W4/00,2097.33,90.42,44.11,1052.84,617.29,1042.63,-218.63,,,
100/01-07-013-18W4/00,2116.46,90.2,44.2,1066.16,631.08,1042.53,-218.53,,,
100/01-07-013-18W4/00,2135.61,88.88,43.14,1079.4,644.87,1042.68,-218.68,,,
100/01-07-013-18W4/00,2154.74,87.74,42.97,1092.42,658.88,1043.25,-219.25,,,
100/01-07-013-18W4/00,2164.28,87.91,43.23,1098.94,665.77,1043.61,-219.61,,,
100/01-07-013-18W4/00,2173.82,89.41,43.85,1105.52,672.67,1043.83,-219.83,,,
100/01-07-013-18W4/00,2183.41,89.45,44.28,1112.18,679.56,1043.93,-219.93,,,
100/01-07-013-18W4/00,2192.99,89.32,44.46,1118.91,686.46,1044.03,-220.03,,,
100/01-07-013-18W4/00,2202.6,90.81,45.69,1125.71,693.24,1044.02,-220.02,,,
100/01-07-013-18W4/00,2212.22,92.7,45.52,1132.58,699.91,1043.73,-219.73,,,
100/01-07-013-18W4/00,2231.35,91.87,44.9,1146.1,713.37,1042.96,-218.96,,,
100/01-07-013-18W4/00,2250.59,91.65,44.72,1159.63,727.05,1042.37,-218.37,,,
100/01-07-013-18W4/00,2269.86,90.46,44.9,1173.23,740.73,1042.02,-218.02,,,
100/01-07-013-18W4/00,2288.93,89.76,44.9,1186.68,754.19,1041.98,-217.98,,,
100/01-07-013-18W4/00,2308.22,88.09,44.64,1200.28,767.86,1042.34,-218.34,,,
100/01-07-013-18W4/00,2327.52,88.79,45.08,1213.88,781.54,1042.87,-218.87,,,
